No	TMNo	EnNo	Name	INOUT	Mode	DateTime
348	1	13		0	5	2018/01/04 09:11:14
349	1	21		0	5	2018/01/04 09:11:27
350	1	14		0	5	2018/01/04 09:11:51
351	1	16		0	5	2018/01/04 09:16:52
352	1	12		0	5	2018/01/04 09:19:12
353	1	15		0	5	2018/01/04 09:22:15
354	1	2		0	5	2018/01/04 09:31:24
355	1	2		0	5	2018/01/04 09:31:24
356	1	11		0	5	2018/01/04 10:03:44
357	1	3		0	5	2018/01/04 10:18:39
358	1	5		0	6	2018/01/04 12:00:07
359	1	1		0	6	2018/01/04 12:00:19
360	1	1		0	6	2018/01/04 12:00:19
361	1	22		0	6	2018/01/04 12:00:23
362	1	20		0	6	2018/01/04 12:00:28
363	1	20		0	6	2018/01/04 12:00:28
364	1	16		0	6	2018/01/04 12:00:34
365	1	12		0	6	2018/01/04 12:00:37
366	1	17		0	6	2018/01/04 12:00:43
367	1	3		0	6	2018/01/04 12:00:51
368	1	18		0	6	2018/01/04 12:00:57
369	1	15		0	6	2018/01/04 12:01:00
370	1	7		0	6	2018/01/04 12:01:04
371	1	7		0	6	2018/01/04 12:01:07
372	1	23		0	6	2018/01/04 12:02:23
373	1	24		0	6	2018/01/04 12:02:26
374	1	25		0	6	2018/01/04 12:02:33
375	1	25		0	6	2018/01/04 12:02:33
376	1	9		0	6	2018/01/04 12:31:50
377	1	9		0	5	2018/01/04 12:31:57
378	1	17		0	5	2018/01/04 12:34:05
379	1	18		0	5	2018/01/04 12:34:10
380	1	16		0	5	2018/01/04 12:34:30
381	1	20		0	5	2018/01/04 12:34:33
382	1	12		0	5	2018/01/04 12:43:55
383	1	7		0	5	2018/01/04 12:43:58
384	1	7		0	5	2018/01/04 12:43:58
385	1	1		0	5	2018/01/04 12:49:17
386	1	24		0	5	2018/01/04 12:49:22
387	1	23		0	5	2018/01/04 12:49:25
388	1	23		0	5	2018/01/04 12:49:25
389	1	25		0	5	2018/01/04 12:49:27
390	1	25		0	5	2018/01/04 12:49:27
391	1	5		0	5	2018/01/04 12:49:36
392	1	15		0	5	2018/01/04 12:49:40
393	1	15		0	5	2018/01/04 12:49:40
394	1	13		0	5	2018/01/04 12:49:45
395	1	13		0	5	2018/01/04 12:49:45
396	1	3		0	5	2018/01/04 12:50:16
397	1	22		0	5	2018/01/04 13:00:28
398	1	26		0	5	2018/01/04 13:29:37
399	1	24		0	5	2018/01/04 14:12:57
400	1	23		0	6	2018/01/04 14:13:05
401	1	26		0	6	2018/01/04 18:00:28
402	1	25		0	6	2018/01/04 18:00:57
403	1	16		0	6	2018/01/04 18:01:04
404	1	16		0	6	2018/01/04 18:01:04
405	1	21		0	6	2018/01/04 18:01:16
406	1	21		0	6	2018/01/04 18:01:16
407	1	22		0	6	2018/01/04 18:01:23
408	1	17		0	6	2018/01/04 18:01:45
409	1	18		0	6	2018/01/04 18:02:02
410	1	20		0	6	2018/01/04 18:02:32
411	1	12		0	6	2018/01/04 18:03:28
412	1	14		0	6	2018/01/04 18:09:37
413	1	14		0	6	2018/01/04 18:09:37
414	1	4		0	6	2018/01/04 18:09:41
415	1	11		0	6	2018/01/04 18:10:11
416	1	2		0	6	2018/01/04 18:16:59
417	1	1		0	6	2018/01/04 18:17:35
418	1	1		0	6	2018/01/04 18:17:35
419	1	5		0	6	2018/01/04 18:22:34
420	1	3		0	6	2018/01/04 18:28:55
421	1	13		0	6	2018/01/04 18:43:27
422	1	15		0	6	2018/01/04 19:29:11
